rye_readscitext,rye_learnscivocab,rye_scitext,hk_ellparticipateinsci,hk_swdparticipateinsci,hk_teaching_science,hk_teaching_sci_field_trial_units,years_teaching,years_teaching_current_grade
Expert,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,16 to 20,6 to 10
Expert,Expert,Expert,Very knowledgeable,Very knowledgeable,Knowledgeable,Not knowledgeable,16 to 20,11 to 15
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,16 to 20,11 to 15
Expert,Expert,Expert,Very knowledgeable,Knowledgeable,Very knowledgeable,Knowledgeable,11 to 15,1
Experienced,Experienced,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA
Experienced,Experienced,Expert,Very knowledgeable,Very knowledgeable,Very knowledgeable,Knowledgeable,more than 20,6 to 10
Experienced,Emerging,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Not knowledgeable,6 to 10,NA
Emerging,Emerging,Emerging,Not knowledgeable,Not knowledgeable,Knowledgeable,Knowledgeable,3,1
Emerging,Emerging,Emerging,Knowledgeable,Not knowledgeable,Not very knowledgeable,Not knowledgeable,5,4
NA,NA,NA,NA,NA,NA,NA,more than 20,6 to 10
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,11 to 15,3
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Very knowledgeable,Knowledgeable,more than 20,6 to 10
NA,NA,NA,NA,NA,NA,NA,11 to 15,6 to 10
Experienced,Experienced,Experienced,Very knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,more than 20,3
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Very knowledgeable,Knowledgeable,6 to 10,5
Experienced,Experienced,Emerging,Not knowledgeable,Knowledgeable,Knowledgeable,Not knowledgeable,16 to 20,11 to 15
NA,NA,NA,NA,NA,NA,NA,NA,NA
Emerging,Emerging,Emerging,Knowledgeable,Knowledgeable,Not very knowledgeable,Not knowledgeable,5,3
Emerging,Experienced,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,4,4
Expert,Expert,Experienced,Very knowledgeable,Very knowledgeable,Very knowledgeable,Knowledgeable,16 to 20,3
NA,NA,NA,NA,NA,NA,NA,NA,NA
Experienced,Experienced,Experienced,Knowledgeable,Not knowledgeable,Very knowledgeable,Not knowledgeable,16 to 20,11 to 15
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,6 to 10
Emerging,Emerging,Very new,Knowledgeable,Not knowledgeable,Knowledgeable,Not knowledgeable,5,4
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,5
Experienced,Experienced,Expert,Not knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,11 to 15,6 to 10
Expert,Expert,Experienced,Very knowledgeable,Very knowledgeable,Very knowledgeable,Knowledgeable,16 to 20,3
NA,NA,NA,NA,NA,NA,NA,16 to 20,3
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,11 to 15,6 to 10
Expert,Expert,Expert,Very knowledgeable,Knowledgeable,Very knowledgeable,Knowledgeable,16 to 20,2
Experienced,Experienced,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,3
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Not knowledgeable,more than 20,20 or more
Experienced,Experienced,Experienced,Knowledgeable,Not knowledgeable,Knowledgeable,Very knowledgeable,16 to 20,6 to 10
Experienced,Experienced,Very new,Knowledgeable,Knowledgeable,Knowledgeable,Not knowledgeable,more than 20,16 to 19
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,3
Expert,Expert,Experienced,Knowledgeable,Very knowledgeable,Knowledgeable,Knowledgeable,16 to 20,5
